dataset,method,gamma,accuracy,runtime_s,train_size,test_size,n_classes
InsectEPGSmallTrain,sharp_sdtw_div,5.0,1.0,24.95269203186035,17,249,3
ECG5000,sharp_sdtw_div,0.5,0.8404444444444444,100.6910171508789,500,4500,5
OSULeaf,sdtw_div,3.0,0.512396694214876,126.10466146469116,200,242,6
InsectEPGSmallTrain,sdtw_div,7.0,1.0,20.91819977760315,17,249,3
BirdChicken,sharp_sdtw_div,5.0,0.7,34.97435641288757,20,20,2
BirdChicken,sdtw_div,7.0,0.5,5.558032989501953,20,20,2
BirdChicken,sharp_sdtw_div,7.0,0.65,13.129287242889404,20,20,2
InsectEPGSmallTrain,sharp_sdtw_div,7.0,1.0,25.08617687225341,17,249,3
BirdChicken,sdtw_div,10.0,0.5,4.9702746868133545,20,20,2
BirdChicken,sharp_sdtw_div,10.0,0.55,12.440606594085692,20,20,2
InsectEPGSmallTrain,sdtw_div,10.0,1.0,20.99076557159424,17,249,3
ECG5000,sdtw_div,1.0,0.8597777777777778,77.0726866722107,500,4500,5
InsectEPGSmallTrain,sharp_sdtw_div,10.0,1.0,24.98120713233948,17,249,3
Car,sdtw_div,0.5,0.7166666666666667,39.32403993606568,60,60,4
PickupGestureWiimoteZ,sdtw_div,0.5,0.8,14.416097640991213,50,50,10
PickupGestureWiimoteZ,sharp_sdtw_div,0.5,0.88,33.51447248458862,50,50,10
PickupGestureWiimoteZ,sdtw_div,1.0,0.76,10.61839723587036,50,50,10
PickupGestureWiimoteZ,sharp_sdtw_div,1.0,0.82,20.225802421569824,50,50,10
PickupGestureWiimoteZ,sdtw_div,3.0,0.66,8.434176921844482,50,50,10
OSULeaf,sharp_sdtw_div,3.0,0.5082644628099173,173.91480326652527,200,242,6
PickupGestureWiimoteZ,sharp_sdtw_div,3.0,0.76,13.322910070419312,50,50,10
ECG5000,sharp_sdtw_div,1.0,0.8484444444444444,122.02346181869508,500,4500,5
PickupGestureWiimoteZ,sdtw_div,5.0,0.64,7.911191701889038,50,50,10
PickupGestureWiimoteZ,sharp_sdtw_div,5.0,0.68,11.656628131866457,50,50,10
PickupGestureWiimoteZ,sdtw_div,7.0,0.62,7.338616371154785,50,50,10
PickupGestureWiimoteZ,sharp_sdtw_div,7.0,0.66,10.603207349777222,50,50,10
PickupGestureWiimoteZ,sdtw_div,10.0,0.62,7.241284370422363,50,50,10
PickupGestureWiimoteZ,sharp_sdtw_div,10.0,0.68,9.97735333442688,50,50,10
PowerCons,sdtw_div,0.5,0.8888888888888888,9.238675355911257,180,180,2
ECG5000,sdtw_div,3.0,0.8617777777777778,56.56887149810791,500,4500,5
Car,sharp_sdtw_div,0.5,0.6666666666666666,160.7286353111267,60,60,4
OSULeaf,sdtw_div,5.0,0.5041322314049587,72.95579886436462,200,242,6
PowerCons,sharp_sdtw_div,0.5,0.8166666666666667,11.645962238311768,180,180,2
PowerCons,sdtw_div,1.0,0.8944444444444445,9.171369552612305,180,180,2
Car,sdtw_div,1.0,0.7333333333333333,25.28190779685974,60,60,4
PowerCons,sharp_sdtw_div,1.0,0.8222222222222222,12.169458150863647,180,180,2
PowerCons,sdtw_div,3.0,0.9388888888888888,10.376359939575195,180,180,2
PowerCons,sharp_sdtw_div,3.0,0.8944444444444445,14.4470853805542,180,180,2
PowerCons,sdtw_div,5.0,0.95,10.329437732696531,180,180,2
PowerCons,sharp_sdtw_div,5.0,0.9166666666666666,14.002140045166016,180,180,2
PowerCons,sdtw_div,7.0,0.9555555555555556,10.443784952163696,180,180,2
PowerCons,sharp_sdtw_div,7.0,0.9111111111111112,13.984833717346191,180,180,2
PowerCons,sdtw_div,10.0,0.9555555555555556,8.799626350402832,180,180,2
ECG5000,sharp_sdtw_div,3.0,0.8624444444444445,122.90874481201172,500,4500,5
PowerCons,sharp_sdtw_div,10.0,0.9166666666666666,14.79149079322815,180,180,2
Car,sharp_sdtw_div,1.0,0.7,110.58481860160828,60,60,4
ShakeGestureWiimoteZ,sdtw_div,0.5,0.92,21.76855230331421,50,50,10
Car,sdtw_div,3.0,0.75,20.000710010528564,60,60,4
ECG5000,sdtw_div,5.0,0.8653333333333333,53.19261956214905,500,4500,5
ShakeGestureWiimoteZ,sharp_sdtw_div,0.5,0.88,37.86411690711975,50,50,10
Car,sharp_sdtw_div,3.0,0.7333333333333333,34.53633165359497,60,60,4
ShakeGestureWiimoteZ,sdtw_div,1.0,0.9,20.188745975494385,50,50,10
Car,sdtw_div,5.0,0.7666666666666667,19.68616414070129,60,60,4
OSULeaf,sharp_sdtw_div,5.0,0.5495867768595041,216.03282570838928,200,242,6
Car,sharp_sdtw_div,5.0,0.7333333333333333,30.803932189941406,60,60,4
ShakeGestureWiimoteZ,sharp_sdtw_div,1.0,0.9,34.83553338050842,50,50,10
ECG5000,sharp_sdtw_div,5.0,0.8337777777777777,75.33100199699402,500,4500,5
Car,sdtw_div,7.0,0.7666666666666667,19.352582931518555,60,60,4
ShakeGestureWiimoteZ,sdtw_div,3.0,0.86,18.6194851398468,50,50,10
OSULeaf,sdtw_div,7.0,0.4752066115702479,55.95002198219299,200,242,6
